Line #,Part #,2021 List Price1,Line #,Part #,2021 List Price2,Line #,Part #,2021 List Price3
1021,74709TB8,452,6,7535,255.5,560,8001BM,414
1022,74709TH8,482.5,7,7536,267,559,8001BS,414
17,7472,12.5,3,7538,239,562,8001BXL,414
20,7472L,11.5,806,7609,453.5,565,8006L,183.5
804,7479,90.5,1114,770001,786,564,8006M,183.5
803,7489,95.5,1112,770003,650.5,563,8006S,183.5
805,7491,103.5,1113,770006,702.5,566,8006XL,183.5
75,7493A,55.5,1117,771002K,675.5,569,8007L,227
1123,7493A502,628,8,7711,357.5,568,8007M,227
1124,7493A602K,637,9,7712,551.5,567,8007S,227
76,7493B1,49,1118,772030,821.5,570,8007XL,227
47,74942,91.5,1119,772060,916.5,571,8021L,315
48,74946,101.5,1120,772100,1031,572,8021M,315
49,749485,107,1115,77302K,605,573,8021S,315
130,7495A,167.5,1116,77602K,634.5,574,8021XL,315
131,7495K,238,87,78012WCSSC,567,575,8026,286
18,7496,15,88,78012WCSSD,395,576,8026X/2X,286
891,7500,3559.5,89,78012WCSTH,437,579,8031L,217.5
895,7500S,3580.5,90,78012WCSWE,337,578,8031M,217.5
892,7504,4115,91,78218CSSC,467,577,8031S,217.5
896,7504S,4136,92,78218CSSD,435,580,8031XL,217.5
890,7505,2557,93,78218CSTH,347,583,8035L,267.5
894,7505S,2578,94,78218CSWE,367,582,8035M,267.5
897,7507,1942.5,95,78218PTH,268,581,8035S,267.5
900,7507S,1963.5,96,78218PWE,230,584,8035XL,267.5
898,7508,2882,97,78218WCSSC,588,588,8039L,340.5
901,7508S,2892.5,98,78218WCSSD,444,587,8039M,340.5
899,7509,3466,99,78218WCSTH,457,586,8039S,340.5
902,7509S,3487,100,78218WCSWE,383,589,8039XL,340.5
893,7510,2588.5,101,78312P,160,585,8042,137.5
1,7530,217.5,102,78316P,183,554,8045,130
2,7531,210.5,103,7840SC,116,350,8060B,425
4,7533,234,104,7840SD,38,351,8063B,185
355,8070L,731.5,385,8084XL,462,754,8165B10,218.5
354,8070M,731.5,352,8087,164,753,8165B65,214.5
359,8070RL,796.5,686,8106,76.5,756,8165C10,232
358,8070RM,796.5,816,8125,62,755,8165C65,227.5
